Method,Silhouette,NMI,ARI,Purity
Baseline (PCA+KMeans),0.10648387670516968,0.038446405697573176,0.016636294122765113,0.299738219895288
Baseline (Spectral),0.08515117317438126,0.034639004861403935,0.018138742595540103,0.29842931937172773
Baseline (Autoencoder),0.11198671907186508,0.03659084209358967,0.02400956737441338,0.299738219895288
Beta-VAE (b=4.0),0.22160297632217407,0.03354167414265972,0.01782206043854706,0.3036649214659686
CVAE (Latent),0.10421250760555267,0.017239562593164715,0.004272274191561466,0.27225130890052357
